time,cleaned_SG,IMF_cleaned
2.67,4.901646024140207,4.7963621288923015
2.671,4.901080444866967,4.800568850758565
2.672,4.900514865593727,4.804472292245579
2.673,4.899949286320487,4.808066433936776
2.674,4.899383707047247,4.811368856899467
2.675,4.898818127774007,4.814384076136206
2.676,4.898252548500767,4.817109222894032
2.677,4.897686969227527,4.819558443976133
2.678,4.897121389954286,4.821756851459802
2.679,4.896555810681046,4.823725542110077
2.68,4.895990231407806,4.825503219243615
2.681,4.895424652134566,4.827077072670418
2.682,4.894859072861326,4.828457153794573
2.683,4.894293493588086,4.829688987014265
2.684,4.893727914314846,4.8307831186060355
2.685,4.893162335041606,4.831747314620313
2.686,4.892596755768366,4.832601533317226
2.687,4.892031176495126,4.833359280972665
2.688,4.891465597221886,4.834038913710268
2.689,4.890900017948646,4.834616558897238
2.69,4.890334438675406,4.835103993225856
2.691,4.889768859402166,4.83550066674074
2.692,4.889203280128926,4.835819871508106
2.693,4.888637700855686,4.836095924230807
2.694,4.888072121582446,4.836296534695701
2.695,4.887506542309206,4.836415847596814
2.696,4.886940963035966,4.836466125295605
2.697,4.886375383762726,4.836468898350961
2.698,4.885809804489486,4.836423566509096
2.699,4.885244225216246,4.836333577223939
2.7,4.884678645943006,4.836234104424822
2.701,4.884113066669766,4.836130978558218
2.702,4.883547487396526,4.83601526668835
2.703,4.882981908123286,4.835897931444878
2.704,4.882416328850046,4.835774278824724
2.705,4.881850749576806,4.835651403072664
2.706,4.881285170303566,4.835533539811635
2.707,4.880719591030325,4.835449621007943
2.708,4.880154011757085,4.835396365646321
2.709,4.879588432483845,4.8353445253369625
2.71,4.879022853210605,4.835318244879288
2.711,4.878457273937365,4.835328329961969
2.712,4.877891694664125,4.835355043362971
2.713,4.877326115390885,4.8354044716162345
2.714,4.876760536117645,4.835465782280388
2.715,4.876194956844405,4.835529191342481
2.716,4.875629377571165,4.835600662280703
2.717,4.8750637982979255,4.8356835601676
2.718,4.8744982190246855,4.835772899940514
2.719,4.8739326397514455,4.8358490379178924
2.72,4.873367060478206,4.835910590338219
