time,cleaned_SG,IMF_cleaned
2.67,4.90198124687508,4.745847771777897
2.671,4.901423974987,4.749732128214816
2.672,4.90086670309892,4.753578235249902
2.673,4.90030943121084,4.757380305487398
2.674,4.899752159322761,4.7611481915508085
2.675,4.899194887434681,4.764874711429375
2.676,4.898637615546601,4.7685442615557765
2.677,4.898080343658521,4.772157675452174
2.678,4.897523071770442,4.775726426697326
2.679,4.896965799882362,4.77925772119681
2.68,4.896408527994282,4.782776212491184
2.681,4.895851256106202,4.786254910729694
2.682,4.895293984218122,4.789689661497563
2.683,4.894736712330042,4.793111810982086
2.684,4.894179440441962,4.796517824042351
2.685,4.8936221685538825,4.799901667710515
2.686,4.893064896665803,4.803270539157657
2.687,4.892507624777723,4.80662575003938
2.688,4.891950352889643,4.8099743223165285
2.689,4.891393081001564,4.8132818661175945
2.69,4.890835809113484,4.816549832586219
2.691,4.890278537225404,4.819767485670919
2.692,4.889721265337324,4.82293846844175
2.693,4.889163993449245,4.8260881111313525
2.694,4.888606721561165,4.829175879796728
2.695,4.888049449673085,4.832188748538799
2.696,4.887492177785005,4.8351325155179286
2.697,4.886934905896926,4.838022871454804
2.698,4.886377634008846,4.840853598973817
2.699,4.885820362120766,4.843623053349387
2.7,4.885263090232686,4.846361808329555
2.701,4.884705818344607,4.849071534616949
2.702,4.884148546456527,4.851739568498528
2.703,4.883591274568447,4.854373784679174
2.704,4.8830340026803665,4.856966998837447
2.705,4.882476730792287,4.8595242510036565
2.706,4.881919458904207,4.862048313587275
2.707,4.881362187016127,4.864567305307847
2.708,4.8808049151280475,4.867077432230976
2.709,4.880247643239968,4.869549071358244
2.71,4.879690371351888,4.872006151191057
2.711,4.879133099463808,4.874459406379187
2.712,4.8785758275757285,4.876889320285576
2.713,4.878018555687649,4.879302458769221
2.714,4.877461283799569,4.8816886660718515
2.715,4.876904011911489,4.884038949660687
2.716,4.8763467400234095,4.886360366737106
2.717,4.87578946813533,4.888657842082465
2.718,4.87523219624725,4.890928254520568
2.719,4.87467492435917,4.893153422115734
2.72,4.8741176524710905,4.895332880425541
2.721,4.873560380583011,4.897466892818647
2.722,4.873003108694931,4.899551862713946
2.723,4.872445836806851,4.901600358168484
2.724,4.8718885649187715,4.9036162613526315
2.725,4.871331293030692,4.905600212667888
2.726,4.870774021142612,4.9075688306474134
2.727,4.870216749254531,4.909517876403715
2.728,4.869659477366452,4.911428176714417
2.729,4.869102205478372,4.9132996423923885
2.73,4.868544933590292,4.915137499894118
2.731,4.867987661702212,4.916937391071895
2.732,4.867430389814133,4.9187022398531255
2.733,4.866873117926053,4.920435545010242
2.734,4.866315846037973,4.9221427151040755
2.735,4.865758574149893,4.9238100196353844
2.736,4.865201302261814,4.925446119471404
2.737,4.864644030373734,4.927044565854134
2.738,4.864086758485654,4.928609874625813
2.739,4.8635294865975744,4.930147545347308
2.74,4.862972214709495,4.931641271792012
2.741,4.862414942821415,4.933097768752917
2.742,4.861857670933335,4.934527511129783
2.743,4.8613003990452555,4.935933626915572
2.744,4.860743127157176,4.937320688183006
2.745,4.860185855269096,4.93867960736532
2.746,4.859628583381016,4.940016594419095
2.747,4.8590713114929365,4.941347365960969
2.748,4.858514039604857,4.94266031060809
2.749,4.857956767716777,4.943954456840566
2.75,4.857399495828696,4.945230465046636
2.751,4.856842223940617,4.9465057066909806
2.752,4.856284952052537,4.947780310026897
2.753,4.855727680164457,4.949042549329208
2.754,4.855170408276377,4.950294705571088
2.755,4.854613136388298,4.951539178700192
2.756,4.854055864500218,4.9527806394781475
2.757,4.853498592612138,4.9540319357599945
2.758,4.852941320724058,4.955272161199276
2.759,4.852384048835979,4.956501362031467
2.76,4.851826776947899,4.95771559698107
2.761,4.851269505059819,4.958916735248234
2.762,4.850712233171739,4.960089964648847
2.763,4.85015496128366,4.961245553098309
2.764,4.84959768939558,4.962390676344063
2.765,4.8490404175075,4.963521371216907
2.766,4.84848314561942,4.96461972945047
2.767,4.847925873731341,4.965698371923631
2.768,4.847368601843261,4.966764840196138
2.769,4.846811329955181,4.967822989691044
2.77,4.846254058067101,4.968875085378108
2.771,4.845696786179022,4.969905588237144
2.772,4.845139514290941,4.970913588742096
2.773,4.844582242402861,4.971894966078818
2.774,4.8440249705147815,4.972859287985706
2.775,4.843467698626702,4.973797971985151
2.776,4.842910426738622,4.974734788260738
2.777,4.842353154850542,4.975676901803682
2.778,4.8417958829624625,4.976614806223174
2.779,4.841238611074383,4.977558916700987
2.78,4.840681339186303,4.978513190487032
2.781,4.840124067298223,4.979479144429712
2.782,4.839566795410144,4.9804537699930265
2.783,4.839009523522064,4.981456265029962
2.784,4.838452251633984,4.982476268685113
2.785,4.837894979745904,4.983491671493136
2.786,4.837337707857825,4.984492972145563
2.787,4.836780435969745,4.985486645752552
2.788,4.836223164081665,4.986461490947305
2.789,4.835665892193585,4.987424106315081
2.79,4.835108620305506,4.988355558003429
2.791,4.834551348417426,4.989244881056511
2.792,4.833994076529346,4.990121004846788
2.793,4.833436804641266,4.99097277131604
2.794,4.832879532753187,4.991800126020855
2.795,4.832322260865106,4.992604632946178
2.796,4.831764988977026,4.99338345221968
2.797,4.8312077170889465,4.994134483186669
2.798,4.830650445200867,4.994883060882896
2.799,4.830093173312787,4.995607499844013
2.8,4.829535901424707,4.996301460440381
2.801,4.8289786295366275,4.9969825750588495
2.802,4.828421357648548,4.997631045766437
2.803,4.827864085760468,4.998251188371288
2.804,4.827306813872388,4.998862335931301
2.805,4.8267495419843085,4.999463455483381
2.806,4.826192270096229,5.000044511201477
2.807,4.825634998208149,5.000580594537282
2.808,4.825077726320069,5.001086997933573
2.809,4.8245204544319895,5.001574823473905
2.81,4.82396318254391,5.002033119975772
2.811,4.82340591065583,5.002471732577279
2.812,4.82284863876775,5.002904291775028
2.813,4.8222913668796705,5.003310787372207
2.814,4.821734094991591,5.0036747934976376
2.815,4.821176823103511,5.004002327793138
2.816,4.820619551215431,5.004306966332667
2.817,4.820062279327351,5.004602090826868
2.818,4.819505007439271,5.004877087800788
2.819,4.818947735551191,5.0051217638756045
2.82,4.818390463663111,5.005335055506152
2.821,4.817833191775032,5.005527697751855
2.822,4.817275919886952,5.005685204023236
2.823,4.816718647998872,5.005791983803718
2.824,4.816161376110792,5.005860941492917
2.825,4.815604104222713,5.005894012197949
2.826,4.815046832334633,5.0059012052774685
2.827,4.814489560446553,5.005872179032102
2.828,4.813932288558473,5.005820034189895
2.829,4.813375016670394,5.005736353381725
2.83,4.812817744782314,5.00562578917139
2.831,4.812260472894234,5.0054571184176435
2.832,4.8117032010061545,5.005231938572891
2.833,4.811145929118075,5.004970677748753
2.834,4.810588657229995,5.004672397544011
2.835,4.810031385341915,5.004315986075449
2.836,4.8094741134538355,5.0039015694047615
2.837,4.808916841565756,5.003443427920221
2.838,4.808359569677676,5.002955860077099
2.839,4.807802297789596,5.0024352211935685
2.84,4.807245025901516,5.00188193985853
2.841,4.806687754013436,5.001315396570254
2.842,4.806130482125356,5.000725416127491
2.843,4.805573210237276,5.000110201747581
2.844,4.805015938349197,4.999478985154
2.845,4.804458666461117,4.998833535735405
2.846,4.803901394573037,4.998171115058617
2.847,4.803344122684957,4.997480512781124
2.848,4.802786850796878,4.996755459104877
2.849,4.802229578908798,4.995999504842776
2.85,4.801672307020718,4.995221207417734
2.851,4.801115035132638,4.994396854943185
2.852,4.800557763244559,4.993539346773438
2.853,4.800000491356479,4.99266590550294
2.854,4.799443219468399,4.991744013580079
2.855,4.798885947580319,4.990772627648548
2.856,4.79832867569224,4.98978011695952
2.857,4.79777140380416,4.988774133410811
2.858,4.79721413191608,4.9877365654303265
2.859,4.796656860028,4.986659689955138
2.86,4.796099588139921,4.98553112965637
2.861,4.795542316251841,4.984371355621228
2.862,4.794985044363761,4.983170169753626
2.863,4.7944277724756805,4.981912173662593
2.864,4.793870500587601,4.980610121406626
2.865,4.793313228699521,4.979291580853524
2.866,4.792755956811441,4.977980556294371
2.867,4.7921986849233615,4.976660830584197
2.868,4.791641413035282,4.975295555418732
2.869,4.791084141147202,4.973877789780147
2.87,4.790526869259122,4.972422106076361
2.871,4.7899695973710426,4.970941921844206
2.872,4.789412325482963,4.969441710543755
2.873,4.788855053594883,4.967911162461956
2.874,4.788297781706803,4.96632536388751
2.875,4.787740509818724,4.964712522177137
2.876,4.787183237930644,4.96308883808954
2.877,4.786625966042564,4.961454753917818
2.878,4.786068694154484,4.959839004683398
2.879,4.785511422266405,4.958206287782319
2.88,4.784954150378325,4.95653193291353
2.881,4.784396878490245,4.9548529664513286
2.882,4.783839606602165,4.953212001151458
2.883,4.783282334714086,4.951602162011933
2.884,4.782725062826006,4.9499569078198515
2.885,4.782167790937926,4.9482618490757035
2.886,4.7816105190498455,4.946527339282492
2.887,4.781053247161766,4.9448057665325456
2.888,4.780495975273686,4.943083962367883
2.889,4.779938703385606,4.941366473214156
2.89,4.7793814314975265,4.939617083771363
2.891,4.778824159609447,4.937822081411425
2.892,4.778266887721367,4.936024849464945
2.893,4.777709615833287,4.934253167874397
2.894,4.7771523439452075,4.93247555836294
2.895,4.776595072057128,4.9306516110792975
2.896,4.776037800169048,4.928801524841118
2.897,4.775480528280968,4.926926311930056
2.898,4.7749232563928885,4.925057338516638
2.899,4.774365984504809,4.923219430428197
2.9,4.773808712616729,4.921391465390038
2.901,4.773251440728649,4.919541191642497
2.902,4.7726941688405695,4.917644411883695
2.903,4.77213689695249,4.9157019776513735
2.904,4.77157962506441,4.913724729498496
2.905,4.77102235317633,4.911727080135258
2.906,4.7704650812882505,4.909698089200668
2.907,4.769907809400171,4.907616881735429
2.908,4.76935053751209,4.905509279064154
2.909,4.76879326562401,4.903386206884054
2.91,4.768235993735931,4.901246078940279
2.911,4.767678721847851,4.8990771979186025
2.912,4.767121449959771,4.896853306966266
2.913,4.766564178071691,4.894610158343983
2.914,4.766006906183612,4.892382755503112
2.915,4.765449634295532,4.890134997068484
2.916,4.764892362407452,4.887872785093086
2.917,4.764335090519372,4.8856006450905625
2.918,4.763777818631293,4.883315694482299
2.919,4.763220546743213,4.8810169998497095
2.92,4.762663274855133,4.878702771472727
2.921,4.762106002967053,4.876406540631388
2.922,4.761548731078974,4.874119836068672
2.923,4.760991459190894,4.871860324916045
2.924,4.760434187302814,4.86964892052519
2.925,4.7598769154147345,4.867476981573516
2.926,4.759319643526655,4.865290528570948
